# func series z0 z dz logN dlogN b db btur dbtur resol chi2r snr id
voigt SiII_1304,SiII_1260,SiII_1526 3.7547089 3.7546449 0.0002080 13.624 1.199 16.679 5.454 0.0000000e+00 0.0000000e+00 130000.000 6.280 nan 116.0000000
voigt CIV 3.7548092 3.7548556 0.0000169 12.471 0.090 10.431 1.428 0.0000000e+00 0.0000000e+00 130000.000 1.457 37.983 83.0000000
voigt SiIV 3.7548874 3.7548716 0.0000035 12.278 0.019 6.099 0.316 0.0000000e+00 0.0000000e+00 130000.000 1.867 43.107 55.0000000
voigt CII_1334 3.7550476 3.7549687 0.0000378 14.026 1.312 7.252 4.880 0.0000000e+00 0.0000000e+00 130000.000 6.280 nan 119.0000000
voigt SiII_1304,SiII_1260,SiII_1526 3.7550476 3.7549687 0.0000378 12.080 8.959 8.212 18.684 0.0000000e+00 0.0000000e+00 130000.000 6.280 nan 120.0000000
voigt CII_1334 3.7549290 3.7549860 0.0000161 12.813 30.093 10.492 192.087 0.0000000e+00 0.0000000e+00 130000.000 6.280 nan 117.0000000
voigt SiII_1304,SiII_1260,SiII_1526 3.7549290 3.7549860 0.0000161 13.168 0.628 6.707 1.973 0.0000000e+00 0.0000000e+00 130000.000 6.280 nan 118.0000000
voigt CIV 3.7591329 3.7591408 0.0000273 12.274 0.071 13.913 2.782 0.0000000e+00 0.0000000e+00 130000.000 1.457 37.983 90.0000000
voigt CIV 3.7595561 3.7595785 0.0000120 12.191 0.064 6.737 1.087 0.0000000e+00 0.0000000e+00 130000.000 1.457 37.983 91.0000000
voigt CIV 3.7600097 3.7601026 0.0000197 12.056 0.083 8.795 1.888 0.0000000e+00 0.0000000e+00 130000.000 1.457 37.983 89.0000000
voigt CIV 3.7608865 3.7609230 0.0000236 12.884 0.029 27.934 2.261 0.0000000e+00 0.0000000e+00 130000.000 1.457 37.983 84.0000000
voigt CIV 3.7616122 3.7616244 0.0000074 12.714 0.044 8.308 0.657 0.0000000e+00 0.0000000e+00 130000.000 1.457 37.983 85.0000000
voigt SiIV 3.7616420 3.7616335 0.0000045 12.206 0.022 6.644 0.409 0.0000000e+00 0.0000000e+00 130000.000 1.667 43.369 56.0000000
voigt SiIV 3.7620120 3.7619980 0.0000058 12.216 0.022 8.545 0.531 0.0000000e+00 0.0000000e+00 130000.000 1.667 43.369 57.0000000
voigt CIV 3.7620052 3.7620061 0.0000152 12.863 0.032 15.739 1.368 0.0000000e+00 0.0000000e+00 130000.000 1.457 37.983 86.0000000
voigt CIV 3.8017544 3.8017616 0.0000049 12.430 0.025 6.159 0.436 0.0000000e+00 0.0000000e+00 130000.000 1.014 37.614 23.0000000
voigt CIV 3.8029999 3.8030259 0.0000081 12.574 0.029 9.429 0.796 0.0000000e+00 0.0000000e+00 130000.000 1.350 39.445 24.0000000
voigt CIV 3.8551607 3.8551592 0.0000067 12.610 0.024 9.237 0.591 0.0000000e+00 0.0000000e+00 130000.000 1.448 37.590 92.0000000
voigt SiIV 3.8622661 3.8622743 0.0000066 11.924 0.032 6.707 0.579 0.0000000e+00 0.0000000e+00 130000.000 1.354 45.305 59.0000000
voigt CIV 3.8622960 3.8623077 0.0000070 12.640 0.027 9.688 0.657 0.0000000e+00 0.0000000e+00 130000.000 1.448 37.590 29.0000000
voigt SiIV 3.8634274 3.8634071 0.0000164 11.949 0.072 7.553 1.431 0.0000000e+00 0.0000000e+00 130000.000 2.611 43.137 60.0000000
voigt CIV 3.8635964 3.8635928 0.0000324 11.861 0.178 7.701 3.139 0.0000000e+00 0.0000000e+00 130000.000 1.448 37.590 93.0000000
voigt SiIV 3.8636353 3.8636634 0.0000145 11.935 0.073 6.722 1.263 0.0000000e+00 0.0000000e+00 130000.000 2.611 43.137 61.0000000
voigt CIV 3.8644072 3.8643986 0.0000040 13.201 0.019 11.745 0.387 0.0000000e+00 0.0000000e+00 130000.000 1.448 37.590 25.0000000
voigt SiIV 3.8644248 3.8644571 0.0000125 12.369 0.035 12.662 1.212 0.0000000e+00 0.0000000e+00 130000.000 4.201 42.919 58.0000000
voigt CIV 3.8651666 3.8648263 0.0000599 13.382 0.031 101.103 7.505 0.0000000e+00 0.0000000e+00 130000.000 1.448 37.590 26.0000000
voigt SiIV 3.8648486 3.8648522 0.0000238 11.706 0.211 5.843 2.279 0.0000000e+00 0.0000000e+00 130000.000 4.201 42.919 62.0000000
voigt CIV 3.8651970 3.8650738 0.0000139 13.279 0.033 23.851 1.790 0.0000000e+00 0.0000000e+00 130000.000 1.448 37.590 28.0000000
voigt SiIV 3.8651779 3.8651664 0.0000123 12.551 0.042 13.109 1.619 0.0000000e+00 0.0000000e+00 130000.000 4.201 42.919 63.0000000
voigt SiIV 3.8656285 3.8656167 0.0000051 12.770 0.025 8.739 0.446 0.0000000e+00 0.0000000e+00 130000.000 4.201 42.919 64.0000000
voigt CIV 3.8655919 3.8656345 0.0000073 13.113 0.032 12.603 0.585 0.0000000e+00 0.0000000e+00 130000.000 1.448 37.590 27.0000000
voigt SiIV 3.8658885 3.8658904 0.0000128 11.655 0.293 3.877 1.753 0.0000000e+00 0.0000000e+00 130000.000 4.201 42.919 65.0000000
voigt SiIV 3.8661311 3.8660861 0.0000731 12.237 0.149 16.387 5.347 0.0000000e+00 0.0000000e+00 130000.000 4.201 42.919 66.0000000
voigt CIV 3.8877895 3.8877087 0.0000183 12.561 0.031 19.701 1.717 0.0000000e+00 0.0000000e+00 130000.000 1.145 38.853 36.0000000
voigt SiIV 3.8877606 3.8877682 0.0000055 12.116 0.022 7.973 0.491 0.0000000e+00 0.0000000e+00 130000.000 1.398 44.081 73.0000000
voigt CIV 3.8885289 3.8885161 0.0000182 12.492 0.070 11.915 1.405 0.0000000e+00 0.0000000e+00 130000.000 1.145 38.853 31.0000000
voigt SiIV 3.8884642 3.8885421 0.0000057 12.236 0.021 8.968 0.503 0.0000000e+00 0.0000000e+00 130000.000 1.398 44.081 78.0000000
